Category,Item,Description,Updated Price,Current Shop Price,Original price,Extra,30%,35%,40%,,Updated Website - Collection,Updated Website - Delivery,Current Website,,delivery,current delivery,Uber,,,,,,,,,,
,Garlic,,$1.00,,,,,,,,$1.10 ,,$1.50 ,1.1,$1.15 ,$0.00 ,$1.43 ,,,,,,,,,,
,Ketchup,,$1.00,,,,,,,,$1.10 ,,$1.50 ,1.1,$1.15 ,$0.00 ,$1.43 ,,,,,,,,,,
,Tartare,,$1.00,,,,,,,,$1.10 ,,$1.50 ,1.1,$1.15 ,$0.00 ,$1.43 ,,,,,,,,,,
,BBQ,,$1.00,,,,,,,,$1.10 ,,$1.50 ,1.1,$1.15 ,$0.00 ,$1.43 ,,,,,,,,,,
,Relish,,$1.00,,,,,,,,$1.10 ,,$1.50 ,1.1,$1.15 ,$0.00 ,$1.43 ,,,,,,,,,,
,Mayo,,$1.00,,,,,,,,$1.10 ,,$1.50 ,1.1,$1.15 ,$0.00 ,$1.43 ,,,,,,,,,,
,Tartare Batch No 5,,$2.00,,0.76,,,,,,$2.20 ,,$2.50 ,2.2,$2.30 ,$0.00 ,$2.86 ,,,,,,,,,,
,Ketchup Batch No 5,,$2.00,,0.76,,,,,,$2.20 ,,$2.50 ,2.2,$2.30 ,$0.00 ,$2.86 ,,,,,,,,,,
,,,,,,,,,,,$0.00 ,,,0,,$0.00 ,$0.00 ,,,,,,,,,,
Special Combo,LIGHT FLAKE PACK FOR ONE WITH A CAN,"1 Flake, 1 Potato Cake, 1 Dim Sim, & Half Chip with 375ml Can",$16.50 ,,$4.94,$2.50,$17.32,$16.33,$14.85,,$18.20 ,$19.00 ,18.5,18.15,$18.98 ,$0.00 ,$23.66 ,,,,,,,,,,
,FLAKE PACK FOR ONE WITH A CAN,"1 Flake, 1 Potato Cake, 1 Dim Sim, & Small Chips with 375ml Can",$19.30 ,$17.50,$5.95,$2.50,$20.35,$19.16,$17.38,,$21.30 ,$22.20 ,18.5,21.23,$22.20 ,$20.13 ,$27.69 ,,,,,,,,,,
,MEAL FOR ONE,"1 Flake, 2 Potato Cakes, 2 Dim Sims, & Half chip with 375ml Can",$20.00 ,$19.00,$5.90,$2.50,$20.21,$19.03,$17.26,,$22.00 ,$23.00 ,23,22,$23.00 ,$21.85 ,$28.60 ,,,,,,,,,,
,FLAKE PACK FOR TWO WITH 2 CANS,"2 Flakes, 2 Potato Cakes, 2 Dim Sims, & Small Chips with 2 375ml Drinks",$32.20 ,$31.00,$10.01,$4.00,$34.03,$32.03,$29.03,,$35.50 ,$37.10 ,$31.50,35.42,$37.03 ,$35.65 ,$46.15 ,,,,,,,,,,
,FAMILY FLAKE PACK WITH 1.25L DRINK,"4 Flakes, 4 Potato Cakes, 4 Dim Sims, & Medium Chips with 1.25l Drink",$60.00 ,$59.00,$19.02,$4.00,$61.06,$57.26,$51.55,,$66.00 ,$69.00 ,60,66,$69.00 ,$67.85 ,$85.80 ,,,,,,,,,,
,FISHERMAN'S CATCH,"1 Flake, 1 Scallop, 1 Seafood Stick, 2 Calamari Rings, & Half Chips with 375ml Can",$22.30 ,$21.50,$7.00,$2.50,$23.51,$22.11,$20.01,,$24.60 ,$25.70 ,23,24.53,$25.65 ,$24.73 ,$31.98 ,,,,,,,,,,
,DINNER BOX,"2 Flakes, 2 Fish Bites, 4 Potato Cakes, 4 Dim Sims, & Small Chips with1.25L Drink",$46.00 ,$46.00,$14.90,$4.00,$48.70,$45.72,$41.25,,$50.60 ,$52.90 ,48,50.6,$52.90 ,$52.90 ,$65.78 ,,,,,,,,,,
,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,,,,,,,,
Pack,LIGHT FLAKE PACK FOR ONE,"1 Flake, 1 Potato Cake, 1 Dim Sim, & Half Chip",$14.00 ,,$4.94,,$14.82,$13.83,$12.35,,$15.40 ,$16.10 ,15.5,15.4,$16.10 ,$0.00 ,$20.02 ,,,,,,,,,,
,FLAKE PACK FOR ONE,"1 Flake, 1 Potato Cake, 1 Dim Sim, & Small Chips",$16.80 ,$15.00,$5.95,,$17.85,$16.66,$14.88,,$18.50 ,$19.40 ,15.5,18.48,$19.32 ,$17.25 ,$24.05 ,,,,,,,,,,
,FLAKE PACK FOR TWO,"2 Flakes, 2 Potato Cakes, 2 Dim Sims, & Small Chips",$28.20 ,$27.00,$10.01,,$30.03,$28.03,$25.03,,$31.10 ,$32.50 ,27.75,31.02,$32.43 ,$31.05 ,$40.43 ,,,,,,,,,,
